#iter iter*batch time loss_G_GAN loss_G_L1 loss_D_real loss_D_fake
369 1476 315.751 0.864 2.141 0.633 0.603
370 1480 316.669 0.818 2.089 0.564 0.656
371 1484 317.354 0.865 1.890 0.592 0.691
372 1488 318.058 0.889 2.178 0.698 0.744
373 1492 318.773 0.797 2.174 0.804 0.625
374 1496 319.438 0.785 2.091 0.728 0.604
375 1500 320.040 0.763 1.933 0.604 0.643
376 1504 320.592 0.815 1.798 0.612 0.755
377 1508 321.177 0.818 1.914 0.703 0.660
378 1512 321.694 0.755 1.951 0.702 0.641
379 1516 322.189 0.697 1.720 0.703 0.623
380 1520 323.244 0.973 2.192 0.473 0.810
381 1524 324.251 0.869 2.064 0.778 0.581
382 1528 325.530 0.754 1.856 0.759 0.649
383 1532 326.314 0.805 1.933 0.617 0.694
384 1536 327.001 0.903 1.902 0.617 0.707
385 1540 327.763 0.895 1.980 0.664 0.625
386 1544 328.479 0.737 1.905 0.659 0.561
387 1548 329.136 0.834 1.910 0.597 0.804
388 1552 329.803 0.939 2.039 0.631 0.679
389 1556 330.481 0.732 1.980 0.803 0.498
390 1560 331.003 0.728 1.937 0.625 0.730
391 1564 331.545 0.834 1.958 0.594 0.695
392 1568 332.261 0.983 2.061 0.631 0.701
393 1572 332.926 0.754 2.021 0.821 0.626
394 1576 333.807 0.824 1.888 0.585 0.675
395 1580 334.881 0.938 1.940 0.563 0.715
396 1584 335.959 0.708 2.006 0.854 0.636
397 1588 336.791 0.932 2.185 0.624 0.870
398 1592 337.659 0.697 1.919 0.896 0.485
399 1596 338.647 0.760 1.947 0.575 0.703
400 1600 339.587 0.852 1.867 0.587 0.736
401 1604 340.267 0.826 1.930 0.683 0.571
402 1608 340.899 0.734 1.798 0.673 0.611
403 1612 341.411 0.854 1.826 0.570 0.695
404 1616 342.050 0.814 1.829 0.663 0.646
405 1620 342.643 0.881 1.797 0.574 0.677
406 1624 343.165 0.725 1.806 0.749 0.575
407 1628 343.912 0.828 1.834 0.604 0.762
408 1632 344.564 0.827 1.925 0.666 0.665
409 1636 345.410 0.657 1.925 0.838 0.603
410 1640 346.201 0.772 1.835 0.578 0.662
411 1644 347.014 0.957 1.914 0.540 0.784
412 1648 348.430 0.755 1.877 0.851 0.551
413 1652 349.542 0.788 2.023 0.605 0.725
414 1656 350.485 0.790 1.950 0.649 0.596
415 1660 351.409 0.858 1.909 0.611 0.642
416 1664 352.262 0.751 1.875 0.668 0.594
417 1668 352.741 1.020 1.992 0.469 0.728
418 1672 353.211 0.718 2.030 0.771 0.498
419 1676 353.727 1.149 2.049 0.574 0.952
420 1680 354.574 0.680 2.000 1.019 0.461
421 1684 355.485 0.805 2.071 0.549 0.794
422 1688 356.568 0.779 1.868 0.708 0.599
423 1692 357.329 0.834 1.853 0.580 0.671
424 1696 358.291 0.877 1.817 0.583 0.663
425 1700 359.570 0.983 1.995 0.627 0.733
426 1704 361.324 0.692 2.013 0.892 0.579
427 1708 361.903 0.701 1.877 0.678 0.664
428 1712 362.931 0.824 1.864 0.602 0.702
429 1716 363.498 0.805 1.805 0.654 0.618
430 1720 364.080 0.897 1.834 0.542 0.642
431 1724 364.875 0.877 1.913 0.654 0.688
432 1728 366.094 0.681 1.846 0.792 0.579
433 1732 367.014 0.820 1.929 0.593 0.796
434 1736 367.805 0.858 2.077 0.676 0.700
435 1740 368.643 0.695 1.874 0.792 0.507
436 1744 369.303 0.853 1.777 0.510 0.714
437 1748 370.110 1.004 1.859 0.531 0.704
438 1752 371.195 0.825 1.963 0.779 0.558
439 1756 372.375 0.755 1.773 0.654 0.679
440 1760 373.532 0.890 1.834 0.661 0.737
441 1764 374.361 0.740 1.779 0.806 0.678
442 1768 374.787 0.952 1.893 0.621 0.754
443 1772 375.410 0.732 2.016 0.818 0.538
444 1776 376.051 0.910 2.080 0.541 0.789
445 1780 376.614 0.714 1.811 0.788 0.546
446 1784 377.082 0.936 1.816 0.506 0.794
447 1788 377.562 0.807 1.879 0.734 0.560
448 1792 377.950 0.771 1.932 0.664 0.661
449 1796 378.498 0.736 1.728 0.669 0.646
450 1800 379.000 0.891 1.745 0.632 0.772
451 1804 379.616 0.732 1.878 0.770 0.590
452 1808 380.331 0.933 2.015 0.560 0.771
453 1812 381.284 0.760 1.989 0.774 0.599
454 1816 382.673 0.878 2.024 0.642 0.685
455 1820 383.799 0.691 1.792 0.701 0.564
456 1824 385.027 0.905 1.797 0.525 0.750
457 1828 386.151 0.778 1.847 0.702 0.569
458 1832 386.865 0.844 1.901 0.581 0.669
459 1836 387.399 0.896 2.003 0.648 0.683
460 1840 388.013 0.790 2.014 0.744 0.664
461 1844 388.566 0.818 2.000 0.674 0.697
462 1848 389.073 0.772 1.953 0.730 0.566
463 1852 389.561 0.903 1.843 0.549 0.717
464 1856 390.045 1.045 2.030 0.638 0.737
465 1860 390.499 0.759 1.961 0.739 0.499
466 1864 390.909 0.797 1.990 0.589 0.718
467 1868 391.269 0.937 2.054 0.636 0.744
468 1872 391.663 0.811 2.102 0.738 0.573
469 1876 392.034 0.779 2.045 0.644 0.644
470 1880 392.455 0.988 2.089 0.603 0.772
471 1884 393.264 0.744 1.952 0.839 0.561
472 1888 393.901 0.772 2.003 0.664 0.759
473 1892 394.892 0.860 2.183 0.621 0.649
474 1896 396.072 0.712 1.960 0.777 0.589
475 1900 397.164 0.909 1.847 0.503 0.686
476 1904 398.438 0.903 1.862 0.595 0.618
477 1908 399.159 0.797 1.928 0.673 0.663
478 1912 399.705 1.013 2.140 0.593 0.714
479 1916 400.251 0.590 1.974 0.868 0.534
480 1920 400.927 1.165 1.994 0.519 0.902
481 1924 401.636 0.557 2.152 1.111 0.384
482 1928 402.339 0.933 2.197 0.399 0.915
483 1932 403.445 0.868 1.868 0.632 0.591
484 1936 404.617 0.903 1.920 0.612 0.697
485 1940 405.689 0.807 1.913 0.698 0.616
486 1944 406.581 0.855 1.988 0.644 0.707
